RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
58.2,41.8,18.1,13,-8.94,1.74,0.01,41.44,61.45,10.1,16.1,-9.58,-0.57,0.04,328
47.64,52.36,10.1,11.1,-8.34,0.99,0.87,38.55,66.78,10,20.1,-9.62,-0.52,0.04,333
50,50,10.1,10.1,-8.99,2.74,-0.02,33.22,56.62,13.1,17.1,-9.61,-0.5,0.04,338
35.47,64.53,6.1,11.1,-8.76,-0.16,0.17,43.38,84.93,4.1,23.1,-9.61,-0.48,0.07,343
57.22,42.78,32.1,24,-9.02,-1.4,0.14,15.07,95.35,0.2,4.1,-8.54,-1.72,-0.31,348
70.05,29.95,42.1,18,-9.06,-1.65,0.16,4.65,50,0.2,0.2,-10.06,-1.24,-0.38,353
-1.66,101.6655,-0.9,55,-8.09,-3.59,-0.08,50,50,0.2,0.2,-9.72,0.1,0.1,358
6.19,93.81,3.1,47,-8.59,-2.43,-0.01,50,99.52,0.2,41.1,-9.77,1.33,0.15,363
15.61,84.39,11.1,60,-9.05,-1.59,0.05,0.48,51.28,19.1,20.1,-9.53,2.04,0.01,368
0.27,99.73,0.2,74,-9.12,-0.69,0.07,48.72,77.07,16.1,54.1,-9.49,1.44,-0.01,373
2.17,97.83,0.2,9,-7.21,-3.7,-2.03,22.93,99.7,0.2,67.1,-10.02,0.68,0.11,378
46.86,53.14,29.1,33,-9.13,-1.3,0.04,0.3,99.84,,121.1,-9.67,1.21,0.06,383
85.24,14.76,64.1,11.1,-8.45,-2.25,0.09,0.16,99.75,0.2,81.1,-9.45,1.3,-0.05,388
34.6,65.4,20.1,38,-8.93,-2.04,0.02,0.25,99.77,0.2,88.1,-9.38,-0.62,-0.09,393
37.61,62.39,21.1,35,-9.21,-1.19,-0.15,0.23,78.13,24.1,86.1,-9.87,-0.63,0.27,398
39.22,60.78,47.1,73,-9.08,-0.6,0.09,21.87,86.52,13.1,84.1,-7.33,-4.97,0.05,403
,41.83,132.1,95,-9.47,0.26,0.07,13.48,29.2,56,23.1,-8.9,4.91,0.07,408
,42.54,104,77,-8.39,-3.08,0.11,70.8,35.48,42,23.1,-9.44,2.66,0.02,413
53.96,46.04,96.1,82,-8.56,-2.66,0.02,64.52,89.81,,133.1,-9.61,0.58,0.01,418
36.49,63.51,43.1,75,-9.73,0.99,-0.1,10.19,77.21,,149.1,-9.57,0.17,0.06,423
,44.84,,113,-9.19,-1.33,0.16,22.79,84.55,,186.1,-9.52,1.51,0.06,428
,20.11,127.1,32,-8.5,-2.6,0.23,15.45,66.2,46,90.1,-9.35,3.49,0.05,433
,22.83,142,42,-8.03,-2.98,-0.02,33.8,51.26,,104.1,-9.2,2.98,-0.01,438
25.39,74.61,21.1,62,-9.24,-0.81,0.09,48.74,73.5,,158.1,-9.56,-0.51,0.09,443
